DEPTH	SECONDS	TPC_OUT	IN	OUT	MEAN_I
1	7833600	99.999769	26848624	26848562	98
1	7862400	99.999611	27004708	27004603	98
1	7891200	99.999774	27046585	27046524	98
1	7920000	99.999764	27123629	27123565	98
2	28800	99.589755	44120	43939	122
2	57600	99.912062	159203	159063	122
2	86400	99.958423	348748	348603	122
2	115200	99.955546	393661	393486	122
2	144000	99.965193	517132	516952	122
2	172800	99.974817	706835	706657	122
2	201600	99.981124	752273	752131	122
2	230400	99.981324	867405	867243	122
2	259200	99.982645	1031423	1031244	122
2	288000	99.986942	1079761	1079620	122
2	316800	99.989011	1219389	1219255	122
2	345600	99.990550	1386181	1386050	122
2	374400	99.987245	1434690	1434507	122
2	403200	99.989524	1584638	1584472	122
2	460800	99.991046	1820420	1820257	122
2	489600	99.993045	1941027	1940892	122
2	518400	99.992890	2137796	2137644	122
2	547200	99.992581	2183699	2183537	122
2	576000	99.993828	2300894	2300752	122
2	604800	99.992986	2495176	2495001	122
2	633600	99.993933	2538128	2537974	122
2	662400	99.991446	2653735	2653508	122
2	691200	99.994754	2840353	2840204	122
2	748800	99.994034	3000382	3000203	122
2	777600	99.995477	3183987	3183843	122
2	806400	99.994332	3228519	3228336	122
2	835200	99.995238	3338698	3338539	122
2	864000	99.995682	3496884	3496733	122
2	892800	99.995825	3545030	3544882	122
2	921600	99.996328	3676275	3676140	122
2	950400	99.995985	3835143	3834989	122
2	1008000	99.995679	4026634	4026460	122
2	1036800	99.996562	4217177	4217032	122
2	1065600	99.995446	4259708	4259514	122
2	1094400	99.996828	4382270	4382131	122
2	1123200	99.997051	4578104	4577969	122
2	1152000	99.996235	4621969	4621795	122
2	1180800	99.997050	4745336	4745196	122
2	1209600	99.996534	4933155	4932984	122
2	1238400	99.996384	4977264	4977084	122
2	1267200	99.997098	5099194	5099046	122
2	1296000	99.996840	5284588	5284421	122
2	1353600	99.997245	5444169	5444019	122
2	1382400	99.997279	5622654	5622501	122
2	1411200	99.997248	5667640	5667484	122
2	1440000	99.997042	5781497	5781326	122
2	1468800	99.997793	5936844	5936713	122
2	1497600	99.997292	5982190	5982028	122
2	1526400	99.997810	6117403	6117269	122
2	1555200	99.997419	6277435	6277273	122
2	1584000	99.997407	6324881	6324717	122
2	1612800	99.997806	6470925	6470783	122
2	1670400	99.997433	6700778	6700606	122
2	1699200	99.998022	6826172	6826037	122
2	1728000	99.997907	7024073	7023926	122
2	1756800	99.997975	7061986	7061843	122
2	1785600	99.998065	7183702	7183563	122
2	1814400	99.997858	7376819	7376661	122
2	1872000	99.997932	7542570	7542414	122
2	1900800	99.997567	7728111	7727923	122
2	1929600	99.997543	7772673	7772482	122
2	1958400	99.997807	7889630	7889457	122
2	1987200	99.998153	8067972	8067823	122
2	2016000	99.997917	8111959	8111790	122
2	2044800	99.998055	8225653	8225493	122
2	2073600	99.998127	8382208	8382051	122
2	2131200	99.998517	8563291	8563164	122
2	2160000	99.998097	8722381	8722215	122
2	2188800	99.997993	8769526	8769350	122
2	2217600	99.998317	8914219	8914069	122
2	2246400	99.998407	9103139	9102994	122
2	2275200	99.998272	9144597	9144439	122
2	2304000	99.998392	9264108	9263959	122
2	2332800	99.998402	9452205	9452054	122
2	2361600	99.998536	9496884	9496745	122
2	2390400	99.998357	9616379	9616221	122
2	2419200	99.998552	9804640	9804498	122
2	2448000	99.998274	9849262	9849092	122
2	2476800	99.998535	9964484	9964338	122
2	2505600	99.998521	10141053	10140903	122
2	2534400	99.998262	10184396	10184219	122
2	2563200	99.998552	10290953	10290804	122
2	2592000	99.998604	10458461	10458315	122
2	2620800	99.998562	10502085	10501934	122
2	2649600	99.998331	10605792	10605615	122
2	2678400	99.998521	10748194	10748035	122
2	2707200	99.998545	10792879	10792722	122
2	2736000	99.998882	10916015	10915893	122
2	2764800	99.998364	11063421	11063240	122
2	2793600	99.997542	11104347	11104074	122
2	2822400	99.998743	11216689	11216548	122
2	2851200	99.998463	11383842	11383667	122
2	2880000	99.998556	11427650	11427485	122
2	2908800	99.998795	11535964	11535825	122
2	2937600	99.998857	11720617	11720483	122
2	2966400	99.998181	11764985	11764771	122
2	2995200	99.998565	11847247	11847077	122
2	3024000	99.998707	11984166	11984011	122
2	3052800	99.997613	12022402	12022115	122
2	3081600	99.998201	12115196	12114978	122
2	3110400	99.998386	12265567	12265369	122
2	3139200	99.996709	12306590	12306185	122
2	3168000	99.997186	12400165	12399816	122
2	3196800	99.997936	12548374	12548115	122
2	3254400	99.997366	12679368	12679034	122
2	3283200	99.997994	12809306	12809049	122
2	3340800	99.995573	12967095	12966521	122
2	3369600	99.997863	13104027	13103747	122
2	3398400	99.995010	13146726	13146070	122
2	3427200	99.993815	13257648	13256828	122
2	3456000	99.996646	13414961	13414511	122
2	3484800	99.998394	13448176	13447960	122
2	3513600	99.998906	13532103	13531955	122
2	3542400	99.998837	13666815	13666656	122
2	3600000	99.998912	13782050	13781900	122
2	3628800	99.998872	13914152	13913995	122
2	3657600	99.998566	13947573	13947373	122
2	3686400	99.998845	14026604	14026442	122
2	3715200	99.998703	14111128	14110945	122
2	3772800	99.999196	14180085	14179971	122
2	3801600	99.999061	14268920	14268786	122
2	3830400	99.998056	14302764	14302486	122
2	3859200	99.998985	14389072	14388926	122
2	3888000	99.998986	14497948	14497801	122
2	3945600	99.998864	14617968	14617802	122
2	3974400	99.998872	14719509	14719343	122
2	4003200	99.998394	14752673	14752436	122
2	4032000	99.998989	14832444	14832294	122
2	4060800	99.999124	14953545	14953414	122
2	4089600	99.998318	14984301	14984049	122
2	4118400	99.999138	15076015	15075885	122
2	4176000	99.998564	15247791	15247572	122
2	4204800	99.998526	15334262	15334036	122
2	4233600	99.998920	15460994	15460827	122
2	4262400	99.998658	15493741	15493533	122
2	4291200	99.999050	15577258	15577110	122
2	4320000	99.998848	15706181	15706000	122
2	4377600	99.999039	15824901	15824749	122
2	4406400	99.999047	15949061	15948909	122
2	4435200	99.998911	15981711	15981537	122
2	4464000	99.999104	16063145	16063001	122
2	4492800	99.995740	16174895	16174206	122
2	4521600	99.996268	16209740	16209135	122
2	4550400	99.998651	16307064	16306844	122
2	4608000	99.998396	16461271	16461007	122
2	4636800	99.999227	16562332	16562204	122
2	4694400	99.998834	16729540	16729345	122
2	4723200	99.999150	16816025	16815882	122
2	4752000	99.998927	16954490	16954308	122
2	4780800	99.998640	16988236	16988005	122
2	4809600	99.999151	17071140	17070995	122
2	4838400	99.999035	17208137	17207971	122
2	4867200	99.999043	17240123	17239958	122
2	4896000	99.998620	17322616	17322377	122
2	4924800	99.999043	17453103	17452936	122
2	4982400	99.999049	17561177	17561010	122
2	5011200	99.998982	17684755	17684575	122
2	5068800	99.999123	17789790	17789634	122
2	5097600	99.999117	17897179	17897021	122
2	5126400	99.998695	17930575	17930341	122
2	5184000	99.999073	18129804	18129636	122
2	5212800	99.999053	18163345	18163173	122
2	5241600	99.999162	18258529	18258376	122
2	5270400	99.999038	18391676	18391499	122
2	5299200	99.999121	18423286	18423124	122
2	5328000	99.999260	18507462	18507325	122
2	5356800	99.999201	18642388	18642239	122
2	5414400	99.999174	18759526	18759371	122
2	5443200	99.999206	18894389	18894239	122
2	5500800	99.999264	19014767	19014627	122
2	5529600	99.999275	19184361	19184222	122
2	5558400	99.999090	19228118	19227943	122
2	5587200	99.999302	19329441	19329306	122
2	5616000	99.999282	19492829	19492689	122
2	5644800	99.998935	19535944	19535736	122
2	5673600	99.999302	19634835	19634698	122
2	5702400	99.999201	19776957	19776799	122
2	5731200	99.999031	19821799	19821607	122
2	5760000	99.999057	19934668	19934480	122
2	5788800	99.999143	20076782	20076610	122
2	5846400	99.999180	20248532	20248366	122
2	5875200	99.999329	20421956	20421819	122
2	5932800	99.999295	20577788	20577643	122
2	5961600	99.999321	20758884	20758743	122
2	6019200	99.999402	20913508	20913383	122
2	6048000	99.998696	21089268	21088993	122
2	6076800	99.999243	21134041	21133881	122
2	6105600	99.999223	21244396	21244231	122
2	6134400	99.999267	21417001	21416844	122
2	6192000	99.999351	21571310	21571170	122
2	6220800	99.999278	21746172	21746015	122
2	6249600	99.999188	21797909	21797732	122
2	6278400	99.999242	21901332	21901166	122
2	6307200	99.999274	22045706	22045546	122
2	6336000	99.998895	22090358	22090114	122
2	6364800	99.999261	22206160	22205996	122
2	6393600	99.999289	22350148	22349989	122
2	6422400	99.999263	22395218	22395053	122
2	6451200	99.999436	22511831	22511704	122
2	6480000	99.999418	22675574	22675442	122
2	6537600	99.999365	22833863	22833718	122
2	6566400	99.999283	23018373	23018208	122
2	6624000	99.999469	23145971	23145848	122
2	6652800	99.999352	23289702	23289551	122
2	6768000	99.999379	23331500	23331355	122
2	6796800	99.999334	23431099	23430943	122
2	6825600	99.999169	23581627	23581431	122
2	6883200	99.999321	23719140	23718979	122
2	6912000	99.999359	23853059	23852906	122
2	6969600	99.999413	24002230	24002089	122
2	7027200	99.999239	24169965	24169781	122
2	7056000	99.999428	24283789	24283650	122
2	7084800	99.999391	24446832	24446683	122
2	7113600	99.999232	24487733	24487545	122
2	7142400	99.999386	24594023	24593872	122
2	7171200	99.999410	24762966	24762820	122
2	7200000	99.998231	24815507	24815068	122
2	7228800	99.999398	24916488	24916338	122
2	7257600	99.999326	25075337	25075168	122
2	7286400	99.999315	25117046	25116874	122
2	7315200	99.999484	25213196	25213066	122
2	7344000	99.999239	25358785	25358592	122
2	7401600	99.999396	25496025	25495871	122
2	7430400	99.999352	25636848	25636682	122
2	7488000	99.999414	25770062	25769911	122
