ALGORITHM	K_I	DEPTH	K_F	MEM_PROC	MEM_DATA	PROFILES	LOGS	LOGS_OUT	TIME	LOG_TIME	MATCH	TPC_MATCH
SA1	170	11	170.074295	55747874	0	0	27241515	27023734	480.850327656	1.765138e-05	0	0
AF	170	11	183.918915	296172577	0	0	27023734	0	402.836050875	1.490675e-05	42051	0.155608
AA	170	11	174.925919	310827152	0	0	27023734	27020069	443.358982493	1.640628e-05	38684	0.143148
SA1	190	1	314.375000	193879925	0	0	27241515	27236475	317.763487824	1.166468e-05	0	0
AF	190	1	268.000000	305815137	0	0	27236475	0	490.614207675	1.801313e-05	172754	0.634274
AA	190	1	268.000000	210446106	0	0	27236475	27232179	314.22269984	1.153683e-05	172754	0.634274
SA1	190	3	199.097809	156547562	0	0	27241515	27064318	698.816542435	2.565263e-05	0	0
AF	190	3	200.145157	299115123	0	0	27064318	0	413.760295319	1.528804e-05	32336	0.119478
AA	190	3	204.179489	311300652	0	0	27064318	27060140	475.369172524	1.756442e-05	30953	0.114368
SA1	190	5	190.157379	53256236	0	0	27241515	27021507	448.87342645	1.647755e-05	0	0
AF	190	5	207.851059	298706346	0	0	27021507	0	416.65545922	1.541940e-05	35478	0.131295
AA	190	5	196.465118	314394468	0	0	27021507	27017530	472.898985857	1.750084e-05	33759	0.124934
SA1	190	7	190.063004	54897351	0	0	27241515	27021328	479.330978916	1.759561e-05	0	0
AF	190	7	207.059998	298711836	0	0	27021328	0	415.894234969	1.539133e-05	38301	0.141744
AA	190	7	198.354172	314270729	0	0	27021328	27017161	476.493020645	1.763396e-05	35743	0.132277
SA1	190	9	190.058838	56312245	0	0	27241515	27021284	539.788054912	1.981491e-05	0	0
AF	190	9	208.000000	298715563	0	0	27021284	0	425.999068436	1.576532e-05	38309	0.141773
AA	190	9	198.437500	315425549	0	0	27021284	27017122	479.735468653	1.775398e-05	35826	0.132584
SA1	190	11	190.060730	56478792	0	0	27241515	27021242	543.743963938	1.996012e-05	0	0
AF	190	11	205.910004	298712370	0	0	27021242	0	421.751243079	1.560814e-05	38653	0.143047
AA	190	11	196.021271	314944812	0	0	27021242	27017301	479.223206189	1.773505e-05	36098	0.133591
SA1	210	1	349.625000	362251306	0	0	27241515	27235918	437.464193355	1.605873e-05	0	0
AF	210	1	297.250000	584380316	0	0	27235918	0	603.667758069	2.216440e-05	161679	0.593624
AA	210	1	297.250000	393893113	0	0	27235918	27231157	439.509991971	1.613715e-05	161678	0.593621
SA1	210	3	218.906921	163632170	0	0	27241515	27060988	764.833506874	2.807603e-05	0	0
AF	210	3	223.509903	575615070	0	0	27060988	0	519.937180698	1.921353e-05	29294	0.108252
AA	210	3	224.441177	483376172	0	0	27060988	27056521	590.909048255	2.183620e-05	28463	0.105181
SA1	210	5	210.136780	54422891	0	0	27241515	27019255	496.168212114	1.821368e-05	0	0
