attack	k_i	depth	k_f	mem_proc	mem_data	profiles	logs	logs_out	time	log_time	match	%match
SF1	90	3	143.414780	151344807	0	0	27241515	26523987	4m7.28597074s	9.077541e-06	0	0.000000
SF1	90	5	116.821754	139726811	0	0	27241515	22987983	4m12.600803461s	9.272642e-06	0	0.000000
SF1	90	7	105.943100	131855044	0	0	27241515	20990523	4m11.895722593s	9.246759e-06	0	0.000000
SF1	90	9	102.279366	129739574	0	0	27241515	20561968	4m10.631028019s	9.200334e-06	0	0.000000
SF1	90	11	101.596542	129521998	0	0	27241515	20531148	4m10.636618089s	9.200539e-06	0	0.000000
SF1	110	1	175.187500	301490724	0	0	27241515	27238705	6m32.541269468s	1.440967e-05	0	0.000000
SF1	110	3	172.948334	293743240	0	0	27241515	26390917	6m1.893721101s	1.328464e-05	0	0.000000
SF1	110	5	139.736923	258694706	0	0	27241515	22436535	5m56.237038597s	1.307699e-05	0	0.000000
SF1	110	7	127.176636	239204319	0	0	27241515	20337627	5m51.276623856s	1.289490e-05	0	0.000000
SF1	110	9	123.153969	234840275	0	0	27241515	19913816	5m50.759754696s	1.287593e-05	0	0.000000
SF1	110	11	122.433037	234442450	0	0	27241515	19883247	5m50.268387116s	1.285789e-05	0	0.000000
SF1	130	1	211.625000	301822782	0	0	27241515	27238130	6m57.039286681s	1.530896e-05	0	0.000000
SF1	130	3	202.296646	294070862	0	0	27241515	26261686	6m27.477437792s	1.422378e-05	0	0.000000
SF1	130	5	162.395370	258924684	0	0	27241515	21928603	6m21.18621227s	1.399284e-05	0	0.000000
SF1	130	7	148.290298	239382787	0	0	27241515	19750417	6m13.593893499s	1.371414e-05	0	0.000000
SF1	130	9	143.911469	235008805	0	0	27241515	19339937	6m11.762171278s	1.364690e-05	0	0.000000
SF1	130	11	143.135773	234641373	0	0	27241515	19317649	6m13.004765531s	1.369251e-05	0	0.000000
SF1	150	1	244.125000	302370218	0	0	27241515	27237607	7m21.064818548s	1.619091e-05	0	0.000000
SF1	150	3	232.210434	294587628	0	0	27241515	26131336	6m52.108148853s	1.512795e-05	0	0.000000
SF1	150	5	184.748962	259311653	0	0	27241515	21464937	6m43.278365813s	1.480382e-05	0	0.000000
SF1	150	7	169.210175	239733069	0	0	27241515	19230712	6m33.908952421s	1.445988e-05	0	0.000000
SF1	150	9	164.556473	235343168	0	0	27241515	18830253	6m30.351301112s	1.432928e-05	0	0.000000
SF1	150	11	163.770508	234953900	0	0	27241515	18801590	6m31.28106929s	1.436341e-05	0	0.000000
SF1	170	1	280.500000	303268723	0	0	27241515	27237040	7m36.929977801s	1.677330e-05	0	0.000000
SF1	170	3	261.498840	295430420	0	0	27241515	26005587	7m17.668628777s	1.606624e-05	0	0.000000
SF1	170	5	206.947266	259981324	0	0	27241515	21030885	7m7.955776003s	1.570969e-05	0	0.000000
SF1	170	7	190.076645	240301436	0	0	27241515	18748097	6m54.589288552s	1.521902e-05	0	0.000000
SF1	170	9	185.160843	235896025	0	0	27241515	18358413	6m50.689722235s	1.507588e-05	0	0.000000
SF1	170	11	184.353851	235528769	0	0	27241515	18330758	6m53.243601595s	1.516963e-05	0	0.000000
SF1	190	1	314.375000	305871668	0	0	27241515	27236477	8m14.246794668s	1.814315e-05	0	0.000000
SF1	190	3	290.560394	297958547	0	0	27241515	25882338	7m47.058782171s	1.714511e-05	0	0.000000
SF1	190	5	229.008011	262117914	0	0	27241515	20622635	7m34.00425983s	1.666590e-05	0	0.000000
SF1	190	7	210.862183	242201005	0	0	27241515	18301034	7m18.762209182s	1.610638e-05	0	0.000000
SF1	190	9	205.732803	237809574	0	0	27241515	17920748	7m15.088537838s	1.597152e-05	0	0.000000
SF1	190	11	204.861847	237414212	0	0	27241515	17899157	7m14.788696558s	1.596052e-05	0	0.000000
SF1	210	1	349.625000	584500178	0	0	27241515	27235916	9m44.921161434s	2.147168e-05	0	0.000000
SF1	210	3	319.229523	557619389	0	0	27241515	25763345	10m10.756950686s	2.242008e-05	0	0.000000
SF1	210	5	250.897705	459682934	0	0	27241515	20237369	9m41.234398082s	2.133635e-05	0	0.000000
SF1	210	7	231.576263	415633442	0	0	27241515	17887380	9m18.241617775s	2.049231e-05	0	0.000000
SF1	210	9	226.257202	407561805	0	0	27241515	17513849	9m15.002690542s	2.037342e-05	0	0.000000
SF1	210	11	225.373001	406960607	0	0	27241515	17491225	9m15.334496192s	2.038560e-05	0	0.000000
